"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","index","dirty_index"
"J","Mohebbi, N; Benabbas, C; Vidal, S; Daryadel, A; Bourgeois, S; Velic, A; Ludwig, MG; Seuwen, K; Wagner, CA",NA,NA,NA,"Mohebbi, Nilufar; Benabbas, Chahira; Vidal, Solange; Daryadel, Arezoo; Bourgeois, Soline; Velic, Ana; Ludwig, Marie-Gabrielle; Seuwen, Klaus; Wagner, Carsten A.",NA,NA,"The Proton-activated G Protein Coupled Receptor OGR1 Acutely Regulates the Activity of Epithelial Proton Transport Proteins","CELLULAR PHYSIOLOGY AND BIOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Ovarian cancer G protein-coupled Receptor 1 (OGR1; GPR68) is proton-sensitive in the pH range of 6.8 - 7.8. However, its physiological function is not defined to date. OGR1 signals via inositol trisphosphate and intracellular calcium, albeit downstream events are unclear. To elucidate OGR1 function further, we transfected HEK293 cells with active OGR1 receptor or a mutant lacking 5 histidine residues (H5Phe-OGR1). An acute switch of extracellular pH from 8 to 7.1 (10 nmol/l vs 90 nmol/l protons) stimulated NHE and H+-ATPase activity in OGR1-transfected cells, but not in H5Phe-OGR1-transfected cells. ZnCl2 and CuCl2 that both inhibit OGR1 reduced the stimulatory effect. The activity was blocked by chelerythrine, whereas the ERK1/2 inhibitor PD 098059 had no inhibitory effect. OGR1 activation increased intracellular calcium in transfected HEK293 cells. We next isolated proximal tubules from kidneys of wild-type and OGR1-deficient mice and measured the effect of extracellular pH on NHE activity in vitro. Deletion of OGR1 affected the pH-dependent proton extrusion, however, in the opposite direction as expected from cell culture experiments. Upregulated expression of the pH-sensitive kinase Pyk2 in OGR1 KO mouse proximal tubule cells may compensate for the loss of OGR1. Thus, we present the first evidence that OGR1 modulates the activity of two major plasma membrane proton transport systems. OGR1 may be involved in the regulation of plasma membrane transport proteins and intra- and/or extracellular pH. Copyright (C) 2012 S. Karger AG, Basel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1015-8987",NA,NA,NA,NA,NA,2012,"29","04-Mar",NA,NA,NA,NA,"313","324",NA,"10.1159/000338486",NA,NA,NA,NA,NA,"WOS:000302752600001",22508039,38,"38 no 2"
"J","Castellone, RD; Leffler, NR; Dong, LX; Yang, LV",NA,NA,NA,"Castellone, Reid D.; Leffler, Nancy R.; Dong, Lixue; Yang, Li V.",NA,NA,"Inhibition of tumor cell migration and metastasis by the proton-sensing GPR4 receptor","CANCER LETTERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPR4 is a member of the proton-sensing G protein-coupled receptor family. Within tumor microenvironments, the interstitial acidic pH may activate GPR4 to regulate the behavior of tumor cells. Mouse B1 6F10 melanoma cells and TRAMP-C1 prostate cancer cells, genetically engineered to overexpress GPR4 or the control vector, were subject to a series of cell migration, invasion and metastasis assays. Upon GPR4 overexpression and activation in an acidic pH, the migration of B16F10 and TRAMP-C1 cells was substantially inhibited in comparison to the vector control. Similar results were observed in the Matrigel invasion and transendothelial invasion assays. At the molecular level, stimulation of GPR4 by acidosis induced the activation of RhoA and the formation of actin stress fibers. In addition, treating B16F10 cells with the known Rho activator CN01 (calpeptin) strongly inhibited cell migration, recapitulating the acidosis/GPR4-induced motility inhibition phenotype. To examine the biological effects in vivo. B1 6F10 melanoma cells were intravenously injected into syngeneic C57BL/6 mice and pulmonary metastasis was inhibited by approximately 80% in GPR4-overexpressing B16F10 cells in comparison to the vector control. Upon treatment with the Rho activator CN01, the phenotype of the B16F10 vector cells paralleled that of the GPR4-overexpressing cells in cell migration and metastasis assays. These findings suggest that GPR4 activation by an acidic pH inhibits tumor cell migration and invasion, and the Rho GTPase is at least partly responsible for this phenotype. (C) 2011 Elsevier Ireland Ltd. All rights reserved.",NA,NA,NA,NA,"Yang, Li/0000-0002-8654-4927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0304-3835",NA,NA,NA,NA,"22-Dec",2011,"312","2",NA,NA,NA,NA,"197","208",NA,"10.1016/j.canlet.2011.08.013",NA,NA,NA,NA,NA,"WOS:000296683900008",21917373,38,"38 no 3"
"J","Hasegawa, H; Lei, J; Matsumoto, T; Onishi, S; Suemori, K; Yasukawa, M",NA,NA,NA,"Hasegawa, Hitoshi; Lei, Jin; Matsumoto, Takuya; Onishi, Sachiko; Suemori, Koichiro; Yasukawa, Masaki",NA,NA,"Lysophosphatidylcholine enhances the suppressive function of human naturally occurring regulatory T cells through TGF-beta production","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naturally occurring CD4(+)CD25(+) regulatory T cells (nTregs) play a pivotal role in the maintenance of self-tolerance and immune homeostasis. To gain insight into the mechanism of action of nTregs in pathological and physiological immune responses, it is important to analyze bioactive molecules that modulate the maintenance and function of nTregs. From a library of bioactive lipids, we obtained lysophosphatidylcholine (LPC) as a molecule that enhanced the Foxp3 expression and suppressive function of human nTregs significantly in comparison with those of DMSO-treated nTregs (control). The expression levels of TGF-beta 1 mRNA and protein in LPC-treated nTregs were significantly higher than those in control nTregs. After treatment with anti-TGF-beta 1 antibody, the increases in Foxp3 expression and the suppressive properties of LPC-treated nTregs returned to the levels observed in control nTregs. These findings indicate that LPC enhances Foxp3 expression and the suppressive function of nTregs through TGF-beta 1 produced by nTregs themselves. Experimental knockdown of G2A and GPR4 showed that this LPC-induced TGF-beta 1 expression in nTregs was due to G2A signaling, and did not involve GPR4. Moreover, JNK was a major contributor to LPC-induced TGF-beta 1 expression in nTregs, although LPC activated MAPKs including ERK1/2, p38 MAPK, and JNK via G2A. LPC is a bioactive lysolipid highly abundant in the circulation. Therefore, LPC may contribute to the maintenance and function of human nTregs in vivo. (C) 2011 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0006-291X",NA,NA,NA,NA,"25-Nov",2011,"415","3",NA,NA,NA,NA,"526","531",NA,"10.1016/j.bbrc.2011.10.119",NA,NA,NA,NA,NA,"WOS:000297958600018",22074829,38,"38 no 4"
"J","Chen, AS; Dong, LX; Leffler, NR; Asch, AS; Witte, ON; Yang, LV",NA,NA,NA,"Chen, Aishe; Dong, Lixue; Leffler, Nancy R.; Asch, Adam S.; Witte, Owen N.; Yang, Li V.",NA,NA,"Activation of GPR4 by Acidosis Increases Endothelial Cell Adhesion through the cAMP/Epac Pathway","PLOS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Endothelium-leukocyte interaction is critical for inflammatory responses. Whereas the tissue microenvironments are often acidic at inflammatory sites, the mechanisms by which cells respond to acidosis are not well understood. Using molecular, cellular and biochemical approaches, we demonstrate that activation of GPR4, a proton-sensing G protein-coupled receptor, by isocapnic acidosis increases the adhesiveness of human umbilical vein endothelial cells (HUVECs) that express GPR4 endogenously. Acidosis in combination with GPR4 overexpression further augments HUVEC adhesion with U937 monocytes. In contrast, overexpression of a G protein signaling-defective DRY motif mutant (R115A) of GPR4 does not elicit any increase of HUVEC adhesion, indicating the requirement of G protein signaling. Downregulation of GPR4 expression by RNA interference reduces the acidosis-induced HUVEC adhesion. To delineate downstream pathways, we show that inhibition of adenylate cyclase by inhibitors, 29,59-dideoxyadenosine (DDA) or SQ 22536, attenuates acidosis/GPR4-induced HUVEC adhesion. Consistently, treatment with a cAMP analog or a G(i) signaling inhibitor increases HUVEC adhesiveness, suggesting a role of the G(s)/cAMP signaling in this process. We further show that the cAMP downstream effector Epac is important for acidosis/GPR4-induced cell adhesion. Moreover, activation of GPR4 by acidosis increases the expression of vascular adhesion molecules E-selectin, VCAM-1 and ICAM-1, which are functionally involved in acidosis/GPR4-mediated HUVEC adhesion. Similarly, hypercapnic acidosis can also activate GPR4 to stimulate HUVEC adhesion molecule expression and adhesiveness. These results suggest that acidosis/GPR4 signaling regulates endothelial cell adhesion mainly through the G(s)/cAMP/Epac pathway and may play a role in the inflammatory response of vascular endothelial cells.",NA,NA,NA,NA,"Yang, Li/0000-0002-8654-4927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203",NA,NA,NA,NA,"16-Nov",2011,"6","11",NA,NA,NA,NA,NA,NA,"e27586","10.1371/journal.pone.0027586",NA,NA,NA,NA,NA,"WOS:000297555400062",22110680,38,"38 no 5"
"J","Alexander, SPH; Mathie, A; Peters, JA",NA,NA,NA,"Alexander, Stephen P. H.; Mathie, Alistair; Peters, John A.",NA,NA,"Special Issue: Guide to Receptors and Channels, 5th Edition Abstracts","BRITISH JOURNAL OF PHARMACOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Fifth Edition of the 'Guide to Receptors and Channels' is a compilation of the major pharmacological targets divided into seven sections: G protein-coupled receptors, ligand-gated ion channels, ion channels, catalytic receptors, nuclear receptors, transporters and enzymes. These are presented with nomenclature guidance and summary information on the best available pharmacological tools, alongside suggestions for further reading. Available alongside this publication is a portal at http://www.GuideToPharmacology.org which is produced in close association with NC-IUPHAR and allows free online access to the information presented in the Fifth Edition.",NA,NA,NA,"Alexander, Steve/B-8105-2009","Alexander, Steve/0000-0003-4417-497X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0007-1188","1476-5381",NA,NA,NA,"NOV",2011,"164",NA,NA,"1","SI",NA,"S1","+",NA,NA,NA,NA,NA,NA,NA,"WOS:000308705300001",22040146,38,"38 no 6"
"J","Nixon, GF; Mathieson, FA; Hunter, I",NA,NA,NA,"Nixon, Graeme F.; Mathieson, Fiona A.; Hunter, Irene",NA,NA,"The multi-functional role of sphingosylphosphorylcholine","PROGRESS IN LIPID RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The sphingomyelin metabolite, sphingosylphosphorylcholinc (SPC) has been the subject of much recent interest and controversy. Studies have indicated that SPC naturally occurs in plasma and a constituent of lipoproteins. Synthesis is also increased in some pathological conditions. Research has demonstrated that SPC is a potentially important lipid mediator of cell type specific functions in major tissues, such as heart, blood vessels, skin, brain and immune system. These effects are regulated via a number of different intracellular signalling cascades, also dependent upon cell type. Initial reports identifying high affinity SPC receptors at first appeared to reinforce the physiological relevance of this sphingolipid. However, these studies have now been retracted. Some SPC effects have been shown be occur via plasma membrane receptors for the related sphingolipid, sphingosine I-phosphate (SIP). Despite a lack of well-defined receptor signal transduction mechanisms and sparse pharmacological data, several key characteristics of SPC are now emerging. SPC can act as a mitogen in several different cell types and in certain circumstances, may also be a pro-inflammatory mediator. In this review, these actions of SPC are discussed with a view to understanding the potential physiological relevance of this sphingolipid. (c) 2007 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0163-7827",NA,NA,NA,NA,"JAN",2008,"47","1",NA,NA,NA,NA,"62","75",NA,"10.1016/j.plipres.2007.11.001",NA,NA,NA,NA,NA,"WOS:000253027100005",18042469,38,"38 no 7"
"J","Han, M; Kim, YL; Sacket, SJ; Kim, K; Kim, HL; Jo, JY; Ha, NC; Im, DS",NA,NA,NA,"Han, Mijin; Kim, Yu-Lee; Sacket, Santosh J.; Kim, Kyeok; Kim, Hyo-Lim; Jo, Ji-Yeong; Ha, Nam-Chul; Im, Dong-Soon",NA,NA,"Effect of direct albumin binding to sphingosylphosphorylcholine in Jurkat T cells","PROSTAGLANDINS & OTHER LIPID MEDIATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We investigated the effects of serum on lysophospholipid-induced cytotoxicity in Jurkat T cells. We found that sphingosylphosphorylcholine (SPC, also known as lysosphingomyelin) induced cytotoxicity and that albumin in serum could protect cells by binding directly to SPC. Furthermore, we also found that SPC induced ROS generation, increased [Ca2+](i), and decreased MMP. However, those effects were only observed at concentrations higher than 10 mu M and were only induced in albumin-free media. Therefore, SPC may be trapped by albumin in plasma and unable to exert its effects under normal conditions, although at high concentrations, SPC could induce several responses such as ROS generation, increased [Ca2+](i), and decreased MMP in Jurkat T cells. (c) 2007 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1098-8823",NA,NA,NA,NA,"NOV",2007,"84","04-Mar",NA,NA,NA,NA,"174","183",NA,"10.1016/j.prostaglandins.2007.08.003",NA,NA,NA,NA,NA,"WOS:000251497300009",17991619,38,"38 no 8"
"J","Huang, CW; Tzeng, JN; Chen, YJ; Tsai, WF; Chen, CC; Sun, WH",NA,NA,NA,"Huang, Chia-Wei; Tzeng, Jian-Ning; Chen, Ying-Ju; Tsai, Wei-Fen; Chen, Chih-Cheng; Sun, Wei-Hsin",NA,NA,"Nociceptors of dorsal root ganglion express proton-sensing G-protein-coupled receptors","MOLECULAR AND CELLULAR NEUROSCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One major goal in pain research is to identify novel pain targets. Tissue injury, inflammation, and ischemia are usually accompanied by local tissue acidosis, the degree of associated pain or discomfort well correlated with the magnitude of acidification. Proton-sensing ion channels, transient receptor potential/vanilloid receptor subtype 1, and acid-sensing ion channel 3 are involved in acidosis-linked pain. However, whether recently identified proton-sensing G-protein-coupled receptors (GPCRs) also have some contributions is unclear. Proton-sensing GPCRs, including OGR1, GPR4, G2A, and TDAG8, are fully activated at pH 6.4-6.8 in vitro. To understand whether the proton-sensing GPCRs are expressed in nociceptors, we cloned the four mouse genes and examined their tissue distribution and localization in pain-relevant loci, the dorsal root ganglion (DRG). The OGR1 family members were widely expressed in neuronal and non-neuronal tissues. Their transcripts were expressed in the DRG, and most (75-82%) were present in small-diameter neurons responsible for nociception. Approximately 31-40% of total DRG neurons expressed at least two proton-sensing GPCRs. We have also demonstrated that gene expression of proton-sensing GPCRs is changed in ASIC3 knockout mice. Our finding suggests that proton-sensing GPCRs could have some roles in nociception or in compensation of loss of ASIC3 gene. (c) 2007 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1044-7431",NA,NA,NA,NA,"OCT",2007,"36","2",NA,NA,NA,NA,"195","210",NA,"10.1016/j.mcn.2007.06.010",NA,NA,NA,NA,NA,"WOS:000250069700007",17720533,38,"38 no 9"
"J","Lee, CW; Rivera, R; Dubin, AE; Chun, J",NA,NA,NA,"Lee, Chang-Wook; Rivera, Richard; Dubin, Adrienne E.; Chun, Jerold",NA,NA,"LPA(4)/GPR23 is a lysophosphatidic acid (LPA) receptor utilizing G(s)-, G(q)/G(i)-mediated calcium signaling and G(12/13)-mediated Rho activation","JOURNAL OF BIOLOGICAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lysophosphatidic acid (LPA) is a bioactive lysophospholipid that signals through G protein-coupled receptors (GPCRs) to produce a range of biological responses. A recently reported fourth receptor, LPA(4)/GPR23, was notable for its low homology to the previously identified receptors LPA(1-3) and for its ability to increase intracellular concentrations of cAMP and calcium. However, the signaling pathways leading to LPA(4)-mediated induction of cAMP and calcium levels have not been reported. Using epitope-tagged LPA(4), pharmacological intervention, and G protein mini-genes, we provide independent confirmatory evidence that supports LPA(4) as a fourth LPA receptor, including LPA concentration-dependent responses and specific membrane binding. Importantly, we further demonstrate new LPA-dependent activities of LPA, that include the following: receptor internalization; G(12/13)- and Rho-mediated neurite retraction and stress fiber formation; G(q) protein and pertussis toxin-sensitive calcium mobilization and activation of a nonselective cation conductance; and cAMP increases mediated by G(s). The receptor is broadly expressed in embryonic tissues, including brain, as determined by Northern blot and reverse transcription-PCR analysis. Adult tissues have increased expression in skin, heart, and to a lesser extent, thymus. These data confirm the identification and extend the functionality of LPA(4) as an LPA receptor, bringing the number of independently verified LPA receptors to five, with both overlapping and distinct signaling properties and tissue expression.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0021-9258",NA,NA,NA,NA,"16-Feb",2007,"282","7",NA,NA,NA,NA,"4310","4317",NA,"10.1074/jbc.M610826200",NA,NA,NA,NA,NA,"WOS:000244482000010",17166850,38,"38 no 10"
"J","Seuwen, K; Ludwig, MG; Wolf, RM",NA,NA,NA,"Seuwen, Klaus; Ludwig, Marie-Gabrielle; Wolf, Romain M.",NA,NA,"Review - Receptors for protons or lipid messengers or both?","JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION",NA,NA,NA,NA,"10th Swiss Receptor Workshop","MAR 12-15, 2006","Univ Basel, Pharmacenter, Basel, SWITZERLAND",NA,"Univ Basel, Pharmacenter",NA,NA,"The subfamily of G protein-coupled receptors comprising GPR4, OGR1, TDAG8, and G2A was originally characterized as a group of proteins mediating biological responses to the lipid messengers sphingosylphosphoryleholine (SPC), lysophosphatidylcholine (LPC), and psychosine. We challenged this view by reporting that OGR1 and GPR4 sense acidic pH and that this process is not affected by concentrations of SPC or LPC previously reported as agonistic. The original publications describing GPR4, OGR1, and G2A as receptors for LPC or SPC have now been retracted, and the first studies exploring receptors of this family as pH sensors in physiology have appeared. Here we review the status of this field and we confirm that GPR4, OGR1, and TDAG8 should be considered as proton-sensing receptors. Negative regulation of these receptors by high micromolar concentrations of lipids appears not specific in our experiments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1079-9893",NA,NA,NA,NA,NA,2006,"26","06-May",NA,NA,NA,NA,"599","610",NA,"10.1080/10799890600932220",NA,NA,NA,NA,NA,"WOS:000241862000015",17118800,38,"38 no 11"
"J","Colman, RH; Manuel, P; Khalyavin, DD; Hillier, AD; Mclaughlin, AC",NA,NA,NA,"Colman, R. H.; Manuel, P.; Khalyavin, D. D.; Hillier, A. D.; Mclaughlin, A. C.",NA,NA,"Spin dynamics in IrSr2Sm1.15Ce0.85Cu2O10: Complex magnetic behavior in a layered iridocuprate","PHYSICAL REVIEW B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A muon spin rotation (mu SR), neutron, and synchrotron diffraction study of the reentrant spin-glass material IrSr2Sm1.15Ce0.85Cu2O10 is presented. The synthesis has been optimized, and Rietveld refinement of the diffraction patterns shows no sign of the previously reported Ir/Cu cation exchange but confirms the structure along with the disordered tilts and rotations of IrO6 octahedra. The zero-field-mu SR response indicates a complex temperature dependence to the magnetism with multiple transitions that are confirmed to be bulk phenomena. Consecutive transitions are reported at t(1) = 140, t(2) = 20, and t(3) = 6 K. The broad transition at 140 K is assigned to antiferromagnetic ordering of Ir4+ spins with a stripe spin structure. The low-temperature transitions are a result of antiferromagnetic ordering of Cu2+ spins followed by the freezing of a disordered Ir spin component, further evidenced by a strong damping of the oscillation amplitude below 6 K. These observations confirm the bulk nature of the previously reported reentrant spin-glass behavior of this complex magnetic system.",NA,NA,NA,"Hillier, Adrian/A-9331-2015","Hillier, Adrian/0000-0002-2391-8581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1098-0121","1550-235X",NA,NA,NA,"12-Nov",2013,"88","18",NA,NA,NA,NA,NA,NA,"184408","10.1103/PhysRevB.88.184408",NA,NA,NA,NA,NA,"WOS:000326819900004",NA,39,"39 no 1"
"J","Colman, RH; Mclaughlin, AC",NA,NA,NA,"Colman, R. H.; Mclaughlin, A. C.",NA,NA,"IrSr2Sm1.15Ce0.85Cu2.175O10: A reentrant spin-glass material","PHYSICAL REVIEW B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A new iridium-containing layered cuprate material, Ir0.825Sr2Sm1.15Ce0.85Cu2.175O10, has been synthesized by conventional ambient-pressure solid-state techniques. The material's structure has been fully characterized by Rietveld refinement of high-resolution synchrotron x-ray diffraction data; tilts and rotations of the IrO6 octahedra are observed as a result of a bond mismatch between in-plane Ir-O and Cu-O bond lengths. DC-susceptibility measurements evidence a complex set of magnetic transitions upon cooling that are characteristic of a reentrant spin-glass ground-state. The glassy character of the lowest-temperature (T-g = 10 K) transition is further confirmed by AC-susceptibility measurements, showing a characteristic frequency dependence that can be well fitted by the Vogel-Fulcher law and yields a value of Delta T-f/[T-f Delta log(omega)] = 0.015(1), typical of dilute magnetic systems. Electronic transport measurements show the material to be semiconducting at all temperatures, so that the CuO2 planes are underdoped with no evidence of a transition to a superconducting state. Negative magnetoresistance is observed when the material is cooled below 20 K, and the magnitude of this magnetoresistance is seen to increase upon cooling to a value of MR = -9% at 8 K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1098-0121","1550-235X",NA,NA,NA,"23-Apr",2012,"85","14",NA,NA,NA,NA,NA,NA,"144419","10.1103/PhysRevB.85.144419",NA,NA,NA,NA,NA,"WOS:000303115400007",NA,39,"39 no 2"
"J","Mclaughlin, AC; Attfield, JP; Van Duijn, J; Hillier, AD",NA,NA,NA,"Mclaughlin, A. C.; Attfield, J. P.; Van Duijn, J.; Hillier, A. D.",NA,NA,"A mu SR study of the magnetoresistive ruthenocuprates RuSr2Nd1.8-xY0.2CexCu2O10-delta (x=0.95 and 0.80)","JOURNAL OF PHYSICS-CONDENSED MATTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero field muon spin relaxation (ZF-mu SR) has been used to study the magnetic properties of the underdoped giant magnetoresistive ruthenocuprates RuSr2Nd1.8-xY0.2CexCu2O10-delta (x = 0.95, 0.80). The magnetoresistance (MR) is defined so that MR = ((rho(H) - rho(0))/rho(0)) and the giant magnetoresistive ruthenocuprates RuSr2Nd1.8-xY0.2CexCu2O10-delta exhibit a large reduction in electronic resistivity upon application of a magnetic field. The ZF-mu SR results show a gradual loss of initial asymmetry A(0) at the ruthenium spin transition temperature, T-Ru. At the same time the electronic relaxation rate, lambda, shows a gradual increase with decreasing temperature below T-Ru. These results have been interpreted as evidence for Cu spin cluster formation below T-Ru. These magnetically ordered clusters grow as the temperature is decreased thus causing the initial asymmetry to decrease slowly. Giant magnetoresistance is observed over a wide temperature range in the materials studied and the magnitude increases as the temperature is reduced from T-Ru to 4 K which suggests a relation between Cu spin cluster size and vertical bar - MR vertical bar.",NA,NA,NA,"Hillier, Adrian/A-9331-2015;","Hillier, Adrian/0000-0002-2391-8581; van Duijn, Joost/0000-0003-2283-6477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0953-8984",NA,NA,NA,NA,"14-Sep",2011,"23","36",NA,NA,NA,NA,NA,NA,"365704","10.1088/0953-8984/23/36/365704",NA,NA,NA,NA,NA,"WOS:000294292900013",21865639,39,"39 no 3"
"J","Zivkovic, I; Awana, VPS; Berger, H",NA,NA,NA,"Zivkovic, I.; Awana, V. P. S.; Berger, H.",NA,NA,"Nonlinear magnetic response in ruthenocuprates","EUROPEAN PHYSICAL JOURNAL B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We have performed an investigation of the nonlinear magnetic response in ruthenocuprates. A negative, diverging-like peak at the main magnetic transition T-N in RuSr2 RECu2O8 (RE = Gd, Y) indicates a possible canted antiferromagnetic order. Another well defined feature above T-N points to a blocking of superparamagnetic particles through the T-3 dependence of the third harmonic at higher temperatures. Below T-N a nondiverging peak appears, which is strongly affected by the addition of 10% of Cu ions in the RuO2 planes. In RuSr2 RE 2-xCexCu2O10 the main magnetic transition T-M is accompanied by two characteristic temperatures in the third harmonic of the ac susceptibility, in agreement with recent studies from mu SR and Mossbauer spectroscopy. We find that the spin-spin correlation temperature is the same in both families of ruthenocuprates.",NA,NA,NA,"Zivkovic, Ivica/A-5816-2009; Awana, Veer/E-4938-2015","Zivkovic, Ivica/0000-0003-0366-8199;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1434-6028",NA,NA,NA,NA,"APR",2008,"62","4",NA,NA,NA,NA,"423","431",NA,"10.1140/epjb/e2008-00188-7",NA,NA,NA,NA,NA,"WOS:000256087700005",NA,39,"39 no 4"
"J","Mclaughlin, AC; Sher, F; Kimber, SAJ; Attfield, JP",NA,NA,NA,"Mclaughlin, A. C.; Sher, F.; Kimber, S. A. J.; Attfield, J. P.",NA,NA,"Induced antiferromagnetism and large magnetoresistance in RuSr2(Nd,Y,Ce)(2)Cu2O10-delta ruthenocuprates","PHYSICAL REVIEW B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RuSr2(Nd,Y,Ce)(2)Cu2O10-delta ruthenocuprates have been studied by neutron diffraction, and magnetotransport and magnetization measurements, and the electronic phase diagram is reported. Separate Ru and Cu spin ordering transitions are observed, with spontaneous Cu antiferromagnetic order for low hole-doping levels p, and a distinct, induced-antiferromagnetic Cu spin phase in the 0.02 < p < 0.06 pseudogap region. This ordering gives rise to large negative magnetoresistances which vary systematically with p in the RuSr2Nd1.8-xY0.2CexCu2O10-delta series. A collapse of the magnetoresistance and magnetization in the presuperconducting region may signify the onset of superconducting fluctuations.",NA,NA,NA,"D2B, Instrument/F-1072-2012; D20, Diffractometer/O-3123-2013; sher, Falak/G-3412-2015","D20, Diffractometer/0000-0002-1572-1367;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1098-0121",NA,NA,NA,NA,"SEP",2007,"76","9",NA,NA,NA,NA,NA,NA,"94514","10.1103/PhysRevB.76.094514",NA,NA,NA,NA,NA,"WOS:000249786100084",NA,39,"39 no 5"
"J","Mclaughlin, AC; Begg, L; Mccue, AJ; Attfield, JP",NA,NA,NA,"Mclaughlin, A. C.; Begg, L.; McCue, A. J.; Attfield, J. P.",NA,NA,"Enhancement of large magnetoresistances in ruthenocuprates by Ta substitution","CHEMICAL COMMUNICATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"An unexpected enhancement of the large negative magnetoresistance (MR) observed in RuSr2Nd0.95Y0.15Ce0.9Cu2O10-delta up to -47% at 4 K and 9 T is evidenced upon dilution of the Ru magnetic order by substitution of Ta for Ru; this enhancement of -MR scales with the cell volume.",NA,NA,NA,NA,"McCue, Alan/0000-0002-4404-6102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1359-7345",NA,NA,NA,NA,"14-Jun",2007,NA,"22",NA,NA,NA,NA,"2273","2274",NA,"10.1039/b617872c",NA,NA,NA,NA,NA,"WOS:000247349800031",17534514,39,"39 no 6"
"J","Mclaughlin, AC; Attfield, JP",NA,NA,NA,"Mclaughlin, A. C.; Attfield, J. P.",NA,NA,"A variable field neutron study of the negative magnetoresistive ruthenocuprate RuSr2Nd0.9Y0.2Ce0.9Cu2O10-delta","JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A variable field neutron diffraction study of the ruthenocuprate RuSr2Nd0.9Y0.2Ce0.9Cu2O10-delta, which exhibits large negative magnetoresistance, has been performed in order to determine the variation of the magnetic structure with magnetic field. Upon application of a magnetic field the (1/21/21/2) and (1/21/2l) magnetic peaks reduce in intensity as the spins in the RuO2 and CuO2 layer cant into a ferromagnetic alignment in the ab- plane. This results in increased spin polarised transport in the CuO2 plane and hence large negative magnetoresistance. (c) 2006 Elsevier B.V. All rights reserved.",NA,NA,NA,"D2B, Instrument/F-1072-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0304-8853",NA,NA,NA,NA,"MAR",2007,"310","2",3,NA,NA,NA,"1961","1962",NA,"10.1016/j.jmmm.2006.10.875",NA,NA,NA,NA,NA,"WOS:000247720400027",NA,39,"39 no 7"
